Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16694724k(7917684k free), swap 37666244k(16739252k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-28T20:37:41.631+0800: 0.570: [Full GC (Ergonomics) [PSYoungGen: 29658K->29645K(58368K)] [ParOldGen: 174931K->174715K(175104K)] 204589K->204360K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0012112 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.632+0800: 0.571: [Full GC (Ergonomics) [PSYoungGen: 29645K->29645K(58368K)] [ParOldGen: 175003K->174715K(175104K)] 204649K->204360K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0010959 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.633+0800: 0.572: [Full GC (Ergonomics) [PSYoungGen: 29645K->29645K(58368K)] [ParOldGen: 174991K->174715K(175104K)] 204637K->204360K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0010285 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.634+0800: 0.573: [Full GC (Ergonomics) [PSYoungGen: 29645K->29645K(58368K)] [ParOldGen: 175022K->174924K(175104K)] 204668K->204570K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0028172 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.637+0800: 0.576: [Full GC (Allocation Failure) [PSYoungGen: 29645K->29645K(58368K)] [ParOldGen: 174924K->174904K(175104K)] 204570K->204550K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0170181 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
Heap
 PSYoungGen      total 58368K, used 29696K [0x00000000fab00000, 0x0000000100000000, 0x0000000100000000)
  eden space 29696K, 100% used [0x00000000fab00000,0x00000000fc800000,0x00000000fc800000)
  from space 28672K, 0% used [0x00000000fe400000,0x00000000fe400000,0x0000000100000000)
  to   space 28672K, 0% used [0x00000000fc800000,0x00000000fc800000,0x00000000fe400000)
 ParOldGen       total 175104K, used 174904K [0x00000000f0000000, 0x00000000fab00000, 0x00000000fab00000)
  object space 175104K, 99% used [0x00000000f0000000,0x00000000faace2c0,0x00000000fab00000)
 Metaspace       used 2795K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 310K, capacity 386K, committed 512K, reserved 1048576K
